Depthmm,DepthCm,age_calBP,Ti,runningmeanTi,Ca,Carunningmean,Si,Sirunningmean,MnFe,MnFerunningmean,IncCoh,IncCohrunningmean,TiLog
1323,132.3,2781,3.177872301,3.853029111,6.201606318,7.780361493,2.197290446,4.392665574,9.980164423,10.0032743,5881.668502,5733.114702,0.502136442
1324,132.4,2782,2.890230953,3.867955958,5.923148394,7.803618742,2.820546854,4.427379252,9.499856655,10.01602227,5880.113191,5730.085326,0.460932548
1325,132.5,2784,2.936683912,3.888876829,6.77342531,7.83547399,3.974706414,4.459193494,8.917473459,10.02961884,5828.259752,5727.039931,0.467857204
1326,132.6,2786,2.765430531,3.908394574,6.197612395,7.848513065,3.365506731,4.466676246,7.46537384,10.03763595,5746.446185,5723.82427,0.441762753
1327,132.7,2787,3.591920666,3.92914753,8.195416404,7.866727436,5.339789725,4.464702216,8.586378972,10.05438747,5621.572055,5721.787695,0.555326736
1328,132.8,2789,4.855648887,3.935832353,11.28304872,7.861639044,5.513113334,4.463829834,9.409771251,10.07210345,5670.487023,5721.914062,0.686247275
1329,132.9,2791,4.663713555,3.929890933,9.647519627,7.820680175,2.065113013,4.455662247,9.361331786,10.08676352,5682.72469,5722.848072,0.668731868
1330,133,2793,5.513171701,3.926492724,12.46350814,7.802560603,5.748658935,4.46811432,8.366136674,10.10329698,5548.416316,5722.959885,0.741401518
1331,133.1,2794,5.882482378,3.910828961,15.76607964,7.750654914,6.931353924,4.449718493,8.315368032,10.12665622,5580.991533,5724.220639,0.769560635
1332,133.2,2796,9.352453208,3.891307082,23.79805904,7.668965947,7.673004725,4.405705792,9.893016118,10.15847714,5146.949833,5726.067662,0.970925544
1333,133.3,2798,11.42240485,3.839616524,28.57676504,7.507863857,6.516415556,4.376296141,10.29579484,10.17370774,4737.250413,5732.485982,1.057757549
1334,133.4,2799,10.57090553,3.767571569,27.56609477,7.298968801,8.727489463,4.360352322,9.551572288,10.17136877,4267.794525,5743.104884,1.024112192
1335,133.5,2801,6.860082337,3.704901673,17.51013642,7.099249271,4.124609913,4.332124013,9.037626473,10.17123125,4467.871372,5757.065424,0.836329328
1336,133.6,2803,4.06368461,3.670999794,9.037149356,6.996274547,4.279336197,4.335009581,8.059064599,10.15475439,5399.492937,5768.164136,0.608919994
1337,133.7,2805,3.152997144,3.666532673,7.041149063,6.983286357,4.018846101,4.345309394,7.194791101,10.14007125,5746.36474,5770.599552,0.498723577
